ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
95,Dorm,Cingular,long ,Visa,Moderate,3.65,moderate,two,two,Old,Good,liberal,very religious,Fluent,Occasionally,On-line,NO,Disagree,Always,Windows,What's Linux?,Neither
96,Parents,Sprint,very long,Visa,Very high ,2.8,moderate,two,two,New,Good,liberal,Not religious,Slight,Never,Campus store,NO,Disagree,Often,Windows,No,Neither
97,Dorm,Cingular,very long,Visa,Very high ,3.4,none,three,one,Fairly new,Good,somewhat conservative,somewhat religious,Slight,Never,Campus store,NO,Somehwhat agree,Always,Mac,What's Linux?,iPod only
98,Dorm,Cingular,average,Mastercard,High ,3.2,moderate,two,two,Very Old,Good,conservative,religious,Slight,Regularly,Campus store,NO,Somehwhat agree,Always,Windows,What's Linux?,Neither
99,Dorm,Other,long ,Visa,High ,3,moderate,three,four,Very Old,Good,somewhat conservative,Not religious,Slight,Occasionally,On-line,NO,Disagree,Always,Windows,What's Linux?,iPod only
100,Dorm,Sprint,very long,Visa,Very high ,3.2,long,two,three,Fairly new,Good,somewhat liberal,very religious,Moderate,Regularly,Campus store,NO,Disagree,Always,Windows,What's Linux?,Both
101,Dorm,Cingular,average,Visa,Moderate,2,none,two,two,New,Good,conservative,religious,Slight,Occasionally,Campus store,NO,Neither,Always,Windows,No,iPod only
102,Parents,Verizon,average,Amex,Low,3.85,long,two,two,Very new,Good,liberal,somewhat religious,Fluent,Occasionally,Campus store,NO,Disagree,Always,Windows,Yes,MP3 only
103,Share Apt,Cingular,very long,Visa,Very high ,3.3,long,two,three,Old,Good,liberal,Not religious,Moderate,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,What's Linux?,iPod only
104,Dorm,Cingular,average,Visa,Moderate,3.9,moderate,three,three,Very Old,Good,conservative,very religious,Moderate,Occasionally,Other retail,NO,Disagree,Always,Windows,What's Linux?,iPod only
105,Dorm,Verizon,long ,Amex,High ,3.75,moderate,two,two,Very Old,Good,somewhat conservative,somewhat religious,Moderate,Occasionally,Other student,NO,Disagree,Always,Windows,No,iPod only
106,Dorm,Cingular,average,Visa,High ,2.88,none,two,two,Very new,Good,neither,religious,Moderate,Occasionally,Campus store,NO,Disagree,Always,Mac,Yes,Both
107,Dorm,Verizon,average,Visa,Low,2.85,none,two,two,Fairly old,Somewhat good,somewhat liberal,Not religious,Slight,Never,Campus store,NO,Somehwhat agree,Always,Windows,No,iPod only
108,Dorm,Sprint,short,Visa,Moderate,2.99,moderate,three,three,Very Old,Somewhat good,neither,religious,Moderate,Occasionally,On-line,NO,Disagree,Always,Windows,No,Both
109,Share Apt,Verizon,very long,Mastercard,High ,2,short,three,three,Old,Neither,somewhat liberal,religious,Moderate,Occasionally,Other retail,NO,Strongly Agree,Always,Windows,Yes,iPod only
110,Share Apt,T-Mobile,long ,Visa,High ,3.47,moderate,two,two,Very Old,Good,neither,somewhat religious,Moderate,Occasionally,On-line,YES,Somewhat agree,Always,Windows,What's Linux?,iPod only
111,Parents,Verizon,short,Visa,Low,3.96,none,three,four,Very Old,Somewhat good,liberal,Not religious,Slight,Occasionally,Other retail,YES,Neither,Often,Windows,What's Linux?,MP3 only
112,Dorm,Verizon,short,Visa,High ,2.6,none,three,two,Old,Good,somewhat conservative,very religious,Slight,Never,Campus store,YES,Somewhat agree,Always,Windows,What's Linux?,iPod only
113,Parents,Cingular,long ,Mastercard,High ,3,long,two,one,Fairly new,Somewhat good,somewhat liberal,somewhat religious,Fluent,Occasionally,Other student,NO,Somewhat agree,Rarely,Windows,No,MP3 only
114,Share Apt,Cingular,long ,Visa,High ,3.6,none,three,one,Old,Good,conservative,very religious,Moderate,Never,Campus store,NO,Disagree,Always,Windows,No,iPod only
115,Parents,T-Mobile,long ,Amex,High ,3.03,long,three,two,Fairly new,Somewhat good,neither,somewhat religious,Fluent,Occasionally,Campus store,NO,Neither,Never,Windows,No,iPod only
116,Parents,Cingular,average,Mastercard,Moderate,2.8,moderate,three,two,New,Very good,somewhat liberal,Not religious,Slight,Regularly,Campus store,YES,Strongly Agree,Never,Windows,No,Neither
117,Share Apt,Cingular,short,Mastercard,None,3.6,moderate,three,four,Very new,Neither,very conservative,very religious,Slight,Occasionally,Campus store,NO,Somehwhat agree,Always,Windows,Yes,Both
118,Solo Apt,Sprint,average,Visa,Low,3,long,two,two,Very new,Neither,somewhat conservative,very religious,Fluent,Occasionally,Other retail,YES,Somehwhat agree,Often,Windows,No,Neither
