ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic?,PCAccess,OpSystem,Linux?,iPod?
111,Parents,Verizon,175,Visa,70,3.96,0,3,4,18,5,5.73,0,Slight,Occasionally,Other retail,1,4,Often,Windows,What's Linux?,MP3 only
112,Dorm,Verizon,200,Visa,500,2.6,0,3,2,9,5.53,3,15,Slight,Never,Campus store,1,5.07,Always,Windows,What's Linux?,iPod only
113,Parents,Cingular,500,Mastercard,556,3,27,2,1,4,4.97,5,2,Fluent,Occasionally,Other student,0,5.03,Rarely,Windows,No,MP3 only
114,Share Apt,Cingular,700,Visa,378.9,3.6,0,3,1,10,6.3,2.17,45,Moderate,Never,Campus store,0,1.83,Always,Windows,No,iPod only
115,Parents,T-Mobile,600,Amex,350,3.03,30,3,2,5,5,4,2,Fluent,Occasionally,Campus store,0,4.03,Never,Windows,No,iPod only
116,Parents,Cingular,300,Mastercard,226.99,2.8,16,3,2,2,6.67,5.47,0,Slight,Regularly,Campus store,1,6.8,Never,Windows,No,Neither
117,Share Apt,Cingular,150,Mastercard,0,3.6,8,3,4,0,4.47,1,40,Slight,Occasionally,Campus store,0,3.37,Always,Windows,Yes,Both
118,Solo Apt,Sprint,300,Visa,15,3,40,2,2,1,4.47,3.33,20,Fluent,Occasionally,Other retail,1,2.53,Often,Windows,No,Neither
119,Parents,Verizon,187,Mastercard,250,3.55,0,2,2,1,6.13,1.93,24,Slight,Regularly,Campus store,1,4.37,Always,Windows,No,Both
120,Parents,Verizon,150,Mastercard,100,3.02,25,3,4,3,6,1,60,Slight,Occasionally,On-line,1,7,Rarely,Windows,What's Linux?,Neither
121,Parents,Verizon,300,Visa,778,3.2,16,2,3,3,6.43,3.57,45,Slight,Occasionally,Campus store,0,6.93,Always,Windows,What's Linux?,Both
122,Parents,Sprint,1600,Visa,932.76,3.5,35,2,2,5,4.57,2.33,30,Moderate,Occasionally,Campus store,0,4,Rarely,Windows,What's Linux?,iPod only
123,Parents,Cingular,700,Mastercard,331.54,3.72,20,2,4,1,5.13,4.87,2,Moderate,Regularly,Campus store,1,1,Often,Windows,No,MP3 only
124,Parents,Verizon,2585,Visa,224.01,2.67,20,2,3,9,6.23,4.9,10,None,Occasionally,On-line,1,2.1,Always,Windows,No,Neither
125,Solo Apt,Cingular,500,Mastercard,2450,3.5,40,1,3,1,5,4,0,Moderate,Occasionally,Campus store,0,3,Always,Mac,No,iPod only
126,Parents,Sprint,50,Visa,343.62,2.56,22,2,3,1,4.9,2.57,10,Slight,Occasionally,Campus store,0,5.9,Never,Windows,What's Linux?,Neither
127,Parents,Verizon,3000,Visa,400,2.7,25,2,2,0,4.47,4,2,Slight,Occasionally,Campus store,0,2,Often,Windows,What's Linux?,MP3 only
128,Parents,Verizon,1436,Visa,404.88,3.9,45,3,3,2,6.13,2.2,5,Moderate,Never,On-line,1,3.8,Always,Windows,What's Linux?,iPod only
129,Parents,Verizon,443,Visa,187.47,2.2,40,3,2,7,5.67,1.53,0,Slight,Occasionally,No book,0,2.3,Never,Windows,What's Linux?,iPod only
130,Parents,Cingular,300,Mastercard,150,3,27,3,4,1.5,5.77,1,12,Slight,Occasionally,Campus store,1,5.53,Always,Windows,No,MP3 only
131,Share Apt,Nextel,987,Visa,50,3.3,0,2,2,8,3.97,5.03,6,Slight,Occasionally,On-line,1,3.97,Often,Windows,No,MP3 only
132,Share Apt,Verizon,100,None,0,2.8,40,2,4,10,4.33,1.13,0,Slight,Regularly,Other student,0,5.17,Always,Windows,Yes,MP3 only
133,Solo Apt,T-Mobile,200,Visa,760,3.68,20,2,4,7,4.47,4.77,1,Slight,Occasionally,Campus store,0,3.17,Never,Windows,What's Linux?,iPod only
134,Parents,Sprint,300,Visa,936,2.61,28,3,3,8,6.03,5,10,Moderate,Regularly,On-line,0,5.03,Always,Windows,No,iPod only
135,Parents,T-Mobile,400,Mastercard,5500,2.7,23,2,3,9,4.97,5.47,5,Fluent,Never,Campus store,0,6.97,Always,Windows,No,MP3 only
136,Parents,Cingular,300,Visa,0,3.6,0,2,2,2,6.9,4.93,0,None,Never,On-line,0,2.23,Always,Windows,No,iPod only
137,Dorm,T-Mobile,650,Mastercard,4321,2.5,12,4,3,11,5.17,3.53,4,Slight,Occasionally,Campus store,0,6.83,Always,Windows,No,Neither
138,Parents,Cingular,1550,Visa,152.63,3.92,15,2,1,5,6,6,1,Fluent,Occasionally,On-line,0,5,Always,Windows,What's Linux?,iPod only
139,Share Apt,Nextel,1250,Visa,6000,3,35,3,3,9,3.8,5.77,0,Fluent,Occasionally,Campus store,1,4.07,Never,Windows,What's Linux?,iPod only
140,Parents,Verizon,1500,Visa,250,3.34,22,2,4,7,5.8,6.07,45,Fluent,Occasionally,On-line,0,5.37,Never,Windows,No,MP3 only
141,Parents,Cingular,300,Visa,23,3.4,30,3,5,1,6.17,4.07,5,Slight,Occasionally,Campus store,0,5.87,Never,Windows,No,MP3 only
142,Parents,Verizon,100,Visa,65,2.5,35,2,3,5,5.47,5.27,2,Slight,Occasionally,Campus store,0,3.57,Never,Windows,Yes,iPod only
143,Parents,Sprint,500,Visa,725,3.15,25,2,2,9,6.13,5.93,1,None,Occasionally,Campus store,1,4.1,Rarely,Windows,No,iPod only
144,Parents,Verizon,80,Visa,480,3.58,20,2,2,5,5.93,4,0,Moderate,Occasionally,Campus store,1,6,Never,Windows,No,MP3 only
145,Parents,T-Mobile,1460,Visa,320,3.81,25,2,2,1,2,5.03,52,Slight,Never,Campus store,0,2,Always,Windows,No,iPod only
146,Parents,Nextel,300,Visa,191.77,3.2,30,3,3,5,6.5,4.03,5,Slight,Occasionally,Campus store,0,6.13,Always,Windows,No,iPod only
147,Parents,Verizon,300,Mastercard,460,2.8,18,2,2,6,6.97,4.03,52,Slight,Regularly,Other retail,1,7,Always,Mac,Yes,iPod only
148,Parents,Verizon,1200,Visa,61,3.23,15,2,2,4,6,5,30,Slight,Occasionally,Campus store,0,2.57,Never,Windows,No,Neither
149,Parents,T-Mobile,1200,Visa,826.07,2.86,30,2,2,4,3.97,4.8,0,Fluent,Occasionally,On-line,1,4,Always,Windows,What's Linux?,iPod only
150,Share Apt,Verizon,1250,Visa,1395.23,2.4,30,2,2,4,6.53,4,20,None,Occasionally,On-line,0,1.03,Never,Windows,No,MP3 only
